part3,part2b,part2t,part1,scope,language_type,ref_name,comment,print_name,inverted_name,m_id
dgo,,,,Individual,Living language,Dogri (individual language),,Dogri (individual language),Dogri (individual language),doi
dgr,dgr,dgr,,Individual,Living language,Tlicho,,Dogrib,Dogrib,
dgr,dgr,dgr,,Individual,Living language,Tlicho,,Tlicho,Tlicho,
dgs,,,,Individual,Living language,Dogoso,,Dogoso,Dogoso,
dgt,,,,Individual,Extinct language,Ndra'ngith,,Ndra'ngith,Ndra'ngith,
dgw,,,,Individual,Extinct language,Daungwurrung,,Daungwurrung,Daungwurrung,
dgx,,,,Individual,Living language,Doghoro,,Doghoro,Doghoro,
dgz,,,,Individual,Living language,Daga,,Daga,Daga,
dhd,,,,Individual,Living language,Dhundari,,Dhundari,Dhundari,mwr
dhg,,,,Individual,Living language,Dhangu-Djangu,,Dhangu,Dhangu,
dhg,,,,Individual,Living language,Dhangu-Djangu,,Dhangu-Djangu,Dhangu-Djangu,
dhg,,,,Individual,Living language,Dhangu-Djangu,,Djangu,Djangu,
dhi,,,,Individual,Living language,Dhimal,,Dhimal,Dhimal,
dhl,,,,Individual,Living language,Dhalandji,,Dhalandji,Dhalandji,
dhm,,,,Individual,Living language,Zemba,,Zemba,Zemba,
dhn,,,,Individual,Living language,Dhanki,,Dhanki,Dhanki,
dho,,,,Individual,Living language,Dhodia,,Dhodia,Dhodia,
dhr,,,,Individual,Living language,Dhargari,,Dhargari,Dhargari,
dhs,,,,Individual,Living language,Dhaiso,,Dhaiso,Dhaiso,
dhu,,,,Individual,Extinct language,Dhurga,,Dhurga,Dhurga,
dhv,,,,Individual,Living language,Dehu,,Dehu,Dehu,
dhv,,,,Individual,Living language,Dehu,,Drehu,Drehu,
dhw,,,,Individual,Living language,Dhanwar (Nepal),,Dhanwar (Nepal),Dhanwar (Nepal),
dhx,,,,Individual,Living language,Dhungaloo,,Dhungaloo,Dhungaloo,
dia,,,,Individual,Living language,Dia,,Dia,Dia,
dib,,,,Individual,Living language,South Central Dinka,,South Central Dinka,"Dinka, South Central",din
dic,,,,Individual,Living language,Lakota Dida,,Lakota Dida,"Dida, Lakota",
did,,,,Individual,Living language,Didinga,,Didinga,Didinga,
dif,,,,Individual,Extinct language,Dieri,,Dieri,Dieri,
dif,,,,Individual,Extinct language,Dieri,,Diyari,Diyari,
dig,,,,Individual,Living language,Digo,,Chidigo,Chidigo,
dig,,,,Individual,Living language,Digo,,Digo,Digo,
dih,,,,Individual,Living language,Kumiai,,Kumiai,Kumiai,
dii,,,,Individual,Living language,Dimbong,,Dimbong,Dimbong,
dij,,,,Individual,Living language,Dai,,Dai,Dai,
dik,,,,Individual,Living language,Southwestern Dinka,,Southwestern Dinka,"Dinka, Southwestern",din
dil,,,,Individual,Living language,Dilling,,Dilling,Dilling,
dim,,,,Individual,Living language,Dime,,Dime,Dime,
din,din,din,,Macrolanguage,Living language,Dinka,,Dinka,Dinka,
dio,,,,Individual,Living language,Dibo,,Dibo,Dibo,
dip,,,,Individual,Living language,Northeastern Dinka,,Northeastern Dinka,"Dinka, Northeastern",din
diq,,,,Individual,Living language,Dimli (individual language),,Dimli (individual language),Dimli (individual language),zza
dir,,,,Individual,Living language,Dirim,,Dirim,Dirim,
dis,,,,Individual,Living language,Dimasa,,Dimasa,Dimasa,
diu,,,,Individual,Living language,Diriku,,Diriku,Diriku,
div,div,div,dv,Individual,Living language,Dhivehi,,Dhivehi,Dhivehi,
div,div,div,dv,Individual,Living language,Dhivehi,,Divehi,Divehi,
div,div,div,dv,Individual,Living language,Dhivehi,,Maldivian,Maldivian,
diw,,,,Individual,Living language,Northwestern Dinka,,Northwestern Dinka,"Dinka, Northwestern",din
dix,,,,Individual,Living language,Dixon Reef,,Dixon Reef,Dixon Reef,
diy,,,,Individual,Living language,Diuwe,,Diuwe,Diuwe,
diz,,,,Individual,Living language,Ding,,Ding,Ding,
dja,,,,Individual,Extinct language,Djadjawurrung,,Djadjawurrung,Djadjawurrung,
djb,,,,Individual,Living language,Djinba,,Djinba,Djinba,
djc,,,,Individual,Living language,Dar Daju Daju,,Dar Daju Daju,"Daju, Dar Daju",
djd,,,,Individual,Living language,Djamindjung,,Djamindjung,Djamindjung,
djd,,,,Individual,Living language,Djamindjung,,Ngaliwurru,Ngaliwurru,
dje,,,,Individual,Living language,Zarma,,Zarma,Zarma,
djf,,,,Individual,Extinct language,Djangun,,Djangun,Djangun,
dji,,,,Individual,Living language,Djinang,,Djinang,Djinang,
djj,,,,Individual,Living language,Djeebbana,,Djeebbana,Djeebbana,
djk,,,,Individual,Living language,Eastern Maroon Creole,,Businenge Tongo,Businenge Tongo,
djk,,,,Individual,Living language,Eastern Maroon Creole,,Eastern Maroon Creole,Eastern Maroon Creole,
djk,,,,Individual,Living language,Eastern Maroon Creole,,Nenge,Nenge,
djm,,,,Individual,Living language,Jamsay Dogon,,Jamsay Dogon,"Dogon, Jamsay",
djn,,,,Individual,Living language,Jawoyn,,Djauan,Djauan,
djn,,,,Individual,Living language,Jawoyn,,Jawoyn,Jawoyn,
djo,,,,Individual,Living language,Jangkang,,Jangkang,Jangkang,
djr,,,,Individual,Living language,Djambarrpuyngu,,Djambarrpuyngu,Djambarrpuyngu,
dju,,,,Individual,Living language,Kapriman,,Kapriman,Kapriman,
djw,,,,Individual,Extinct language,Djawi,,Djawi,Djawi,
dka,,,,Individual,Living language,Dakpakha,,Dakpakha,Dakpakha,
dkg,,,,Individual,Living language,Kadung,,Kadung,Kadung,
dkk,,,,Individual,Living language,Dakka,,Dakka,Dakka,
dkr,,,,Individual,Living language,Kuijau,,Kuijau,Kuijau,
dks,,,,Individual,Living language,Southeastern Dinka,,Southeastern Dinka,"Dinka, Southeastern",din
dkx,,,,Individual,Living language,Mazagway,,Mazagway,Mazagway,
dlg,,,,Individual,Living language,Dolgan,,Dolgan,Dolgan,
dlk,,,,Individual,Living language,Dahalik,,Dahalik,Dahalik,
dlm,,,,Individual,Extinct language,Dalmatian,,Dalmatian,Dalmatian,
dln,,,,Individual,Living language,Darlong,,Darlong,Darlong,
dma,,,,Individual,Living language,Duma,,Duma,Duma,
dmb,,,,Individual,Living language,Mombo Dogon,,Mombo Dogon,"Dogon, Mombo",
dmc,,,,Individual,Living language,Gavak,,Gavak,Gavak,
dmd,,,,Individual,Extinct language,Madhi Madhi,,Madhi Madhi,Madhi Madhi,
dme,,,,Individual,Living language,Dugwor,,Dugwor,Dugwor,
dmf,,,,Individual,Extinct language,Medefaidrin,,Medefaidrin,Medefaidrin,
dmg,,,,Individual,Living language,Upper Kinabatangan,,Upper Kinabatangan,"Kinabatangan, Upper",
dmk,,,,Individual,Living language,Domaaki,,Domaaki,Domaaki,
dml,,,,Individual,Living language,Dameli,,Dameli,Dameli,
dmm,,,,Individual,Living language,Dama,,Dama,Dama,
dmo,,,,Individual,Living language,Kemedzung,,Kemedzung,Kemedzung,
dmr,,,,Individual,Living language,East Damar,,East Damar,"Damar, East",
dms,,,,Individual,Living language,Dampelas,,Dampelas,Dampelas,
dmu,,,,Individual,Living language,Dubu,,Dubu,Dubu,
dmu,,,,Individual,Living language,Dubu,,Tebi,Tebi,
dmv,,,,Individual,Living language,Dumpas,,Dumpas,Dumpas,
dmw,,,,Individual,Living language,Mudburra,,Mudburra,Mudburra,
dmx,,,,Individual,Living language,Dema,,Dema,Dema,
dmy,,,,Individual,Living language,Demta,,Demta,Demta,
dmy,,,,Individual,Living language,Demta,,Sowari,Sowari,
dna,,,,Individual,Living language,Upper Grand Valley Dani,,Upper Grand Valley Dani,"Dani, Upper Grand Valley",
dnd,,,,Individual,Living language,Daonda,,Daonda,Daonda,
dne,,,,Individual,Living language,Ndendeule,,Ndendeule,Ndendeule,
dng,,,,Individual,Living language,Dungan,,Dungan,Dungan,
dni,,,,Individual,Living language,Lower Grand Valley Dani,,Lower Grand Valley Dani,"Dani, Lower Grand Valley",
dnj,,,,Individual,Living language,Dan,,Dan,Dan,
dnk,,,,Individual,Living language,Dengka,,Dengka,Dengka,
dnn,,,,Individual,Living language,Dzùùngoo,,Dzùùngoo,Dzùùngoo,
dno,,,,Individual,Living language,Ndrulo,,Ndrulo,Ndrulo,
dno,,,,Individual,Living language,Ndrulo,,Northern Lendu,"Lendu, Northern",
dnr,,,,Individual,Living language,Danaru,,Danaru,Danaru,
dnt,,,,Individual,Living language,Mid Grand Valley Dani,,Mid Grand Valley Dani,"Dani, Mid Grand Valley",
dnu,,,,Individual,Living language,Danau,,Danau,Danau,
dnv,,,,Individual,Living language,Danu,,Danu,Danu,
dnw,,,,Individual,Living language,Western Dani,,Western Dani,"Dani, Western",
dny,,,,Individual,Living language,Dení,,Dení,Dení,
doa,,,,Individual,Living language,Dom,,Dom,Dom,
dob,,,,Individual,Living language,Dobu,,Dobu,Dobu,
doc,,,,Individual,Living language,Northern Dong,,Northern Dong,"Dong, Northern",
doe,,,,Individual,Living language,Doe,,Doe,Doe,
dof,,,,Individual,Living language,Domu,,Domu,Domu,
doh,,,,Individual,Living language,Dong,,Dong,Dong,
doi,doi,doi,,Macrolanguage,Living language,Dogri (macrolanguage),,Dogri (macrolanguage),Dogri (macrolanguage),
dok,,,,Individual,Living language,Dondo,,Dondo,Dondo,
dol,,,,Individual,Living language,Doso,,Doso,Doso,
don,,,,Individual,Living language,Toura (Papua New Guinea),,Toura (Papua New Guinea),Toura (Papua New Guinea),
doo,,,,Individual,Living language,Dongo,,Dongo,Dongo,
dop,,,,Individual,Living language,Lukpa,,Lukpa,Lukpa,
doq,,,,Individual,Living language,Dominican Sign Language,,Dominican Sign Language,Dominican Sign Language,
dor,,,,Individual,Living language,Dori'o,,Dori'o,Dori'o,
dos,,,,Individual,Living language,Dogosé,,Dogosé,Dogosé,
dot,,,,Individual,Living language,Dass,,Dass,Dass,
dov,,,,Individual,Living language,Dombe,,Dombe,Dombe,
dow,,,,Individual,Living language,Doyayo,,Doyayo,Doyayo,
dox,,,,Individual,Living language,Bussa,,Bussa,Bussa,
doy,,,,Individual,Living language,Dompo,,Dompo,Dompo,
doz,,,,Individual,Living language,Dorze,,Dorze,Dorze,
dpp,,,,Individual,Living language,Papar,,Papar,Papar,
drb,,,,Individual,Living language,Dair,,Dair,Dair,
drc,,,,Individual,Living language,Minderico,,Minderico,Minderico,
drd,,,,Individual,Living language,Darmiya,,Darmiya,Darmiya,
dre,,,,Individual,Living language,Dolpo,,Dolpo,Dolpo,
drg,,,,Individual,Living language,Rungus,,Rungus,Rungus,
dri,,,,Individual,Living language,C'Lela,,C'Lela,C'Lela,
drl,,,,Individual,Living language,Paakantyi,,Paakantyi,Paakantyi,
drn,,,,Individual,Living language,West Damar,,West Damar,"Damar, West",
dro,,,,Individual,Living language,Daro-Matu Melanau,,Daro-Matu Melanau,"Melanau, Daro-Matu",
drq,,,,Individual,Extinct language,Dura,,Dura,Dura,
drs,,,,Individual,Living language,Gedeo,,Gedeo,Gedeo,
drt,,,,Individual,Living language,Drents,,Drents,Drents,
dru,,,,Individual,Living language,Rukai,,Rukai,Rukai,
dry,,,,Individual,Living language,Darai,,Darai,Darai,
dsb,dsb,dsb,,Individual,Living language,Lower Sorbian,,Lower Sorbian,"Sorbian, Lower",
dse,,,,Individual,Living language,Dutch Sign Language,,Dutch Sign Language,Dutch Sign Language,
dsh,,,,Individual,Living language,Daasanach,,Daasanach,Daasanach,
dsi,,,,Individual,Living language,Disa,,Disa,Disa,
dsk,,,,Individual,Living language,Dokshi,,Dokshi,Dokshi,
dsl,,,,Individual,Living language,Danish Sign Language,,Danish Sign Language,Danish Sign Language,
dsn,,,,Individual,Extinct language,Dusner,,Dusner,Dusner,
dso,,,,Individual,Living language,Desiya,,Desiya,Desiya,
dsq,,,,Individual,Living language,Tadaksahak,,Tadaksahak,Tadaksahak,
dsz,,,,Individual,Living language,Mardin Sign Language,,Mardin Sign Language,Mardin Sign Language,
dta,,,,Individual,Living language,Daur,,Daur,Daur,
dtb,,,,Individual,Living language,Labuk-Kinabatangan Kadazan,,Labuk-Kinabatangan Kadazan,"Kadazan, Labuk-Kinabatangan",
dtd,,,,Individual,Living language,Ditidaht,,Ditidaht,Ditidaht,
dth,,,,Individual,Extinct language,Adithinngithigh,,Adithinngithigh,Adithinngithigh,
dti,,,,Individual,Living language,Ana Tinga Dogon,,Ana Tinga Dogon,"Dogon, Ana Tinga",
dtk,,,,Individual,Living language,Tene Kan Dogon,,Tene Kan Dogon,"Dogon, Tene Kan",
dtm,,,,Individual,Living language,Tomo Kan Dogon,,Tomo Kan Dogon,"Dogon, Tomo Kan",
dtn,,,,Individual,Living language,Daatsʼíin,,Daatsʼíin,Daatsʼíin,
dto,,,,Individual,Living language,Tommo So Dogon,,Tommo So Dogon,"Dogon, Tommo So",
dtp,,,,Individual,Living language,Kadazan Dusun,,Central Dusun,"Dusun, Central",
dtp,,,,Individual,Living language,Kadazan Dusun,,Kadazan Dusun,"Dusun, Kadazan",
dtr,,,,Individual,Living language,Lotud,,Lotud,Lotud,
dts,,,,Individual,Living language,Toro So Dogon,,Toro So Dogon,"Dogon, Toro So",
dtt,,,,Individual,Living language,Toro Tegu Dogon,,Toro Tegu Dogon,"Dogon, Toro Tegu",
dtu,,,,Individual,Living language,Tebul Ure Dogon,,Tebul Ure Dogon,"Dogon, Tebul Ure",
dty,,,,Individual,Living language,Dotyali,,Dotyali,Dotyali,nep
dua,dua,dua,,Individual,Living language,Duala,,Duala,Duala,
dub,,,,Individual,Living language,Dubli,,Dubli,Dubli,
duc,,,,Individual,Living language,Duna,,Duna,Duna,
due,,,,Individual,Living language,Umiray Dumaget Agta,,Umiray Dumaget Agta,"Agta, Umiray Dumaget",
duf,,,,Individual,Living language,Dumbea,,Drubea,Drubea,
duf,,,,Individual,Living language,Dumbea,,Dumbea,Dumbea,
dug,,,,Individual,Living language,Duruma,,Chiduruma,Chiduruma,
dug,,,,Individual,Living language,Duruma,,Duruma,Duruma,
duh,,,,Individual,Living language,Dungra Bhil,,Dungra Bhil,Dungra Bhil,
dui,,,,Individual,Living language,Dumun,,Dumun,Dumun,
duk,,,,Individual,Living language,Uyajitaya,,Uyajitaya,Uyajitaya,
dul,,,,Individual,Living language,Alabat Island Agta,,Alabat Island Agta,"Agta, Alabat Island",
dum,dum,dum,,Individual,Historical language,Middle Dutch (ca. 1050-1350),,Middle Dutch (ca. 1050-1350),"Dutch, Middle (ca. 1050-1350)",
dun,,,,Individual,Living language,Dusun Deyah,,Dusun Deyah,Dusun Deyah,
duo,,,,Individual,Living language,Dupaninan Agta,,Dupaninan Agta,"Agta, Dupaninan",
dup,,,,Individual,Living language,Duano,,Duano,Duano,msa
duq,,,,Individual,Living language,Dusun Malang,,Dusun Malang,Dusun Malang,
dur,,,,Individual,Living language,Dii,,Dii,Dii,
dus,,,,Individual,Living language,Dumi,,Dumi,Dumi,
duu,,,,Individual,Living language,Drung,,Drung,Drung,
duv,,,,Individual,Living language,Duvle,,Duvle,Duvle,
duw,,,,Individual,Living language,Dusun Witu,,Dusun Witu,Dusun Witu,
dux,,,,Individual,Living language,Duungooma,,Duungooma,Duungooma,
duy,,,,Individual,Extinct language,Dicamay Agta,,Dicamay Agta,"Agta, Dicamay",
duz,,,,Individual,Extinct language,Duli-Gey,,Duli-Gey,Duli-Gey,
dva,,,,Individual,Living language,Duau,,Duau,Duau,
dwa,,,,Individual,Living language,Diri,,Diri,Diri,
dwk,,,,Individual,Living language,Dawik Kui,,Dawik Kui,"Kui, Dawik",
dwr,,,,Individual,Living language,Dawro,,Dawro,Dawro,
dws,,,,Individual,Constructed language,Dutton World Speedwords,,Dutton World Speedwords,Dutton World Speedwords,
dwu,,,,Individual,Living language,Dhuwal,,Dhuwal,Dhuwal,
dww,,,,Individual,Living language,Dawawa,,Dawawa,Dawawa,
dwy,,,,Individual,Living language,Dhuwaya,,Dhuwaya,Dhuwaya,
dwz,,,,Individual,Living language,Dewas Rai,,Dewas Rai,"Rai, Dewas",
dya,,,,Individual,Living language,Dyan,,Dyan,Dyan,
